symbol,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,exit_reason,entry_tag,exit_tag,tp1_price,tp1_time,tp1_exit_reason,tp2_price,tp2_time,tp1_pnl,pnl_points,pnl_usd,capital
GOLD,short,2025-12-05 15:45:00+00:00,2025-12-05 16:45:00+00:00,4230.749,4242.696799843532,4.881,-11.947799843532266,auto,__support,auto,,,,,,,-11.947799843532266,-1378.413397634343,8621.586602365656
GOLD,short,2025-12-05 17:05:00+00:00,2025-12-05 17:30:00+00:00,4237.189,4250.2208405256015,4.475,-13.031840525601183,auto,__support,auto,,,,,,,-13.031840525601183,-1376.3248784055959,7245.261723960061
GOLD,long,2025-12-05 18:25:00+00:00,2025-12-08 17:00:00+00:00,4216.539,4190.380906181768,2.23,-26.158093818231464,auto,__resistance,auto,,,,,,,-26.158093818231464,-1383.4224992264076,5861.839224733654
GOLD,short,2025-12-05 18:00:00+00:00,2025-12-08 17:15:00+00:00,4239.259,4186.349,1.1345,39.30505350181147,RR_1:4,__support,RR_1:4,4204.839,2025-12-05 18:15:00+00:00,RR_1:2,"{'level': 4187.858785992754, 'tag': 'RR_1:4'}",2025-12-08 17:15:00+00:00,39.049490000000084,39.30505350181147,1051.8721125037446,6913.711337237399
GOLD,long,2025-12-08 17:20:00+00:00,2025-12-08 23:55:00+00:00,4192.679,4190.059,2.498,-2.619999999999891,end_of_data,__resistance,end_of_data,,,,,,,-2.619999999999891,-156.09971571874993,6757.6116215186485
