symbol,direction,entry_time,exit_time,entry_price,exit_price,position_size,pnl,exit_reason,entry_tag,exit_tag,tp1_price,tp1_time,tp1_exit_reason,tp2_price,tp2_time,tp1_pnl,pnl_points,pnl_usd,capital
GBPUSD,long,2025-01-07 17:25:00+00:00,2025-01-07 17:35:00+00:00,1.2506,1.2493493999999998,0.1,-0.0012506000000001016,auto,ny_reversal_long_HTF_FVG_LTF_FVG,auto,,,,,,,-0.0012506000000001016,-10.000000000000814,9990.0
GBPUSD,long,2025-01-07 17:30:00+00:00,2025-01-07 17:35:00+00:00,1.25035,1.24909965,0.1,-0.0012503500000000667,auto,ny_reversal_long_HTF_FVG_LTF_FVG,auto,,,,,,,-0.0012503500000000667,-10.000000000000533,9979.999999999998
GBPUSD,long,2025-01-07 17:15:00+00:00,2025-01-07 17:40:00+00:00,1.25012,1.24886988,0.1,-0.0012501199999999102,auto,ny_reversal_long_HTF_FVG_LTF_FVG,auto,,,,,,,-0.0012501199999999102,-9.999999999999284,9970.0
GBPUSD,long,2025-01-07 17:20:00+00:00,2025-01-07 17:40:00+00:00,1.25019,1.24893981,0.1,-0.0012501899999999289,auto,ny_reversal_long_HTF_FVG_LTF_FVG,auto,,,,,,,-0.0012501899999999289,-9.999999999999432,9960.0
GBPUSD,long,2025-01-07 17:00:00+00:00,2025-01-07 17:45:00+00:00,1.24958,1.2483304199999998,0.1,-0.0012495800000000834,auto,ny_reversal_long_HTF_FVG_LTF_FVG,auto,,,,,,,-0.0012495800000000834,-10.000000000000668,9950.0
GBPUSD,long,2025-01-07 17:05:00+00:00,2025-01-07 17:45:00+00:00,1.24949,1.24824051,0.1,-0.0012494899999999642,auto,ny_reversal_long_HTF_FVG_LTF_FVG,auto,,,,,,,-0.0012494899999999642,-9.999999999999714,9940.0
GBPUSD,long,2025-01-07 17:10:00+00:00,2025-01-07 17:45:00+00:00,1.24961,1.2483603900000002,0.1,-0.001249609999999901,auto,ny_reversal_long_HTF_FVG_LTF_FVG,auto,,,,,,,-0.001249609999999901,-9.99999999999921,9930.0
GBPUSD,long,2025-01-07 17:35:00+00:00,2025-01-07 17:45:00+00:00,1.24924,1.24799076,0.1,-0.0012492399999999293,auto,ny_reversal_long_HTF_FVG_LTF_FVG,auto,,,,,,,-0.0012492399999999293,-9.999999999999437,9920.0
GBPUSD,long,2025-01-07 17:50:00+00:00,2025-01-07 18:30:00+00:00,1.24999,1.24874001,0.1,-0.0012499900000000341,auto,ny_reversal_long_HTF_FVG_LTF_BREAKER_FVG,auto,,,,,,,-0.0012499900000000341,-10.000000000000274,9910.0
GBPUSD,long,2025-01-07 17:55:00+00:00,2025-01-07 18:35:00+00:00,1.24963,1.24838037,0.1,-0.0012496300000000016,auto,ny_reversal_long_HTF_FVG_LTF_BREAKER_FVG,auto,,,,,,,-0.0012496300000000016,-10.000000000000014,9900.0
